# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène() 	 temps pas 	 temps total
251	0	66568	0.0096713	2.63653
252	0	66506	0.0101668	2.64721
253	0	66536	0.008076	2.65627
254	0	66609	0.0085745	2.66585
255	0	66593	0.0094155	2.6763
256	0	66564	0.0086121	2.68644
257	0	66506	0.0094618	2.69664
258	0	66468	0.0087818	2.70631
259	0	66407	0.0093717	2.71618
260	0	66355	0.0090178	2.72592
261	0	66415	0.0090489	2.73656
262	0	66492	0.0094174	2.74647
263	0	66525	0.0089921	2.75641
264	0	66491	0.0093773	2.7672
265	0	66400	0.0084394	2.7765
266	0	66401	0.0082022	2.78614
267	0	66465	0.0101907	2.79719
268	0	66457	0.0090493	2.80692
269	0	66454	0.0107973	2.81904
270	0	66407	0.0083587	2.82848
271	0	66484	0.007872	2.83793
272	0	66515	0.0072999	2.84596
273	0	66425	0.0069488	2.85348
274	0	66383	0.0069766	2.86128
275	0	66455	0.0072377	2.86898
276	0	66493	0.0082316	2.87806
277	0	66550	0.0083792	2.88697
278	0	66575	0.0098752	2.89785
279	0	66542	0.0075635	2.90641
280	0	66667	0.0092039	2.91726
281	0	66726	0.0090241	2.92722
282	0	66803	0.008767	2.93739
283	0	66793	0.0098809	2.9483
284	0	66717	0.0086533	2.9577
285	0	66551	0.0080267	2.96758
286	0	66507	0.0083478	2.97721
287	0	66412	0.009425	2.988
288	0	66452	0.0091024	2.9982
289	0	66516	0.009737	3.00842
290	0	66494	0.0080689	3.01807
291	0	66580	0.0087887	3.02779
292	0	66666	0.0080822	3.037
293	0	66740	0.0091759	3.04699
294	0	66709	0.0080295	3.05604
295	0	66660	0.0101543	3.06776
296	0	66738	0.0125338	3.08146
297	0	66719	0.0097347	3.0925
298	0	66667	0.0100582	3.10441
299	0	66628	0.0080922	3.11311
300	0	66601	0.0086335	3.12308
301	0	66515	0.0119439	3.13667
302	0	66633	0.0102763	3.14787
303	0	66603	0.008569	3.15713
304	0	66498	0.0081492	3.16653
305	0	66523	0.013337	3.18186
306	0	66440	0.0110498	3.19412
307	0	66380	0.0120897	3.20768
308	0	66375	0.0096201	3.21876
309	0	66504	0.0204836	3.24056
310	0	66476	0.0156802	3.2595
311	0	66544	0.0105271	3.27154
312	0	66590	0.0290858	3.30212
313	0	66449	0.0201248	3.32383
314	0	66565	0.0153139	3.34072
315	0	66627	0.0193307	3.36174
316	0	66685	0.0125189	3.37539
317	0	66745	0.0082762	3.38724
318	0	66651	0.0102156	3.39823
319	0	66651	0.0080436	3.40733
320	0	66665	0.0072461	3.41509
321	0	66681	0.0091133	3.42559
322	0	66650	0.0090923	3.43617
323	0	66639	0.0093267	3.44622
324	0	66662	0.0083938	3.45561
325	0	66619	0.0095662	3.46662
326	0	66595	0.0086982	3.47608
327	0	66562	0.0086758	3.4861
328	0	66666	0.0091022	3.49576
329	0	66622	0.0081429	3.50485
330	0	66622	0.0088666	3.5149
331	0	66629	0.0089127	3.52487
332	0	66716	0.0080745	3.53472
333	0	66757	0.009483	3.54496
334	0	66766	0.008328	3.55433
335	0	66777	0.0079218	3.56401
336	0	66710	0.0082142	3.5731
337	0	66786	0.0091443	3.58332
338	0	66827	0.0084365	3.59248
339	0	66827	0.0078706	3.60155
340	0	66745	0.0120389	3.61486
341	0	66784	0.0355753	3.65244
342	0	66775	0.0152312	3.66915
343	0	66672	0.0177332	3.68843
344	0	66608	0.0092615	3.69907
345	0	66551	0.0110105	3.71114
346	0	66505	0.0105098	3.72308
347	0	66381	0.0211876	3.74615
348	0	66255	0.0094376	3.75682
349	0	66229	0.0106311	3.76848
350	0	66222	0.0123897	3.7826
351	0	66106	0.0141447	3.79841
352	0	66128	0.0089193	3.80933
353	0	66082	0.0086643	3.81992
354	0	66094	0.0111975	3.83221
355	0	65989	0.0193892	3.853
356	0	66034	0.0128361	3.86675
357	0	66131	0.0146139	3.88245
358	0	66131	0.0128876	3.89686
359	0	66215	0.0192237	3.91822
360	0	66313	0.0125893	3.93242
361	0	66381	0.0103149	3.9458
362	0	66419	0.0105774	3.95782
363	0	66297	0.0198177	3.97985
364	0	66212	0.0085668	3.98938
365	0	66200	0.0113414	4.00331
366	0	66218	0.0093916	4.01388
